Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-03-06T05:00:00.000Z,398.0899963379,402.3500061035,394.2099914551,396.7300109863,64054600,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-09T04:00:00.000Z,390.049987793,401.5899963379,381.3999938965,398.6799926758,67018900,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-10T04:00:00.000Z,402.2200012207,406.5899963379,398.1900024414,399.2399902344,59258700,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-11T04:00:00.000Z,402.2799987793,416.3800048828,402.1499938965,407.8200073242,62559900,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-12T04:00:00.000Z,405.1799926758,406.5,394.6499938965,395.0100097656,60973800,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-13T04:00:00.000Z,399.1700134277,400.200012207,389.950012207,391.200012207,58504100,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-16T04:00:00.000Z,396.2200012207,403.7300109863,394.4200134277,395.5599975586,58068300,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-17T04:00:00.000Z,395.6900024414,400.1199951172,393.0,399.2699890137,46890500,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-18T04:00:00.000Z,399.0,403.0700073242,392.3099975586,392.7799987793,50853100,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-19T04:00:00.000Z,387.2699890137,387.2699890137,378.7300109863,380.299987793,67078300,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-20T04:00:00.000Z,379.8500061035,379.8900146484,364.4599914551,367.9599914551,78628600,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-23T04:00:00.000Z,373.0899963379,385.3299865723,372.7300109863,380.8500061035,74606000,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-24T04:00:00.000Z,376.5599975586,387.4800109863,376.3099975586,383.0299987793,60004900,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-25T04:00:00.000Z,389.9899902344,396.2300109863,385.0100097656,385.950012207,55157300,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-26T04:00:00.000Z,381.6000061035,384.4400024414,371.8699951172,372.1099853516,55522900,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-27T04:00:00.000Z,369.6900024414,369.8599853516,359.4700012207,361.8299865723,62065700,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-30T04:00:00.000Z,365.8599853516,367.2900085449,352.1400146484,355.2799987793,67954400,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-03-31T04:00:00.000Z,361.5100097656,373.3299865723,361.0,371.75,75534900,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-04-01T04:00:00.000Z,378.6300048828,383.1400146484,374.0799865723,381.2600097656,58683800,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-04-02T04:00:00.000Z,364.200012207,370.2799987793,359.0299987793,360.5899963379,83031200,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-04-06T04:00:00.000Z,362.5899963379,367.7200012207,346.6400146484,352.8200073242,77697600,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-04-07T04:00:00.000Z,346.4400024414,348.0199890137,337.2399902344,346.6499938965,74515400,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
2026-04-08T04:00:00.000Z,363.7900085449,364.5,339.6700134277,343.25,78838600,0.0,0.0,TSLA,特斯拉,"Tesla, Inc.",USD
