Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-05-20T04:00:00.000Z,389.549987793,393.3800048828,380.700012207,383.299987793,7783900,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-21T04:00:00.000Z,381.1199951172,386.1099853516,380.5400085449,382.4800109863,4732500,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-22T04:00:00.000Z,381.9200134277,390.5400085449,381.0100097656,388.4700012207,5598600,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-26T04:00:00.000Z,386.0,386.5199890137,376.4100036621,376.8599853516,6498100,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-27T04:00:00.000Z,378.4299926758,384.5299987793,377.0899963379,384.0100097656,4544000,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-28T04:00:00.000Z,384.9599914551,389.2600097656,380.9599914551,382.5299987793,4330800,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-05-29T04:00:00.000Z,383.7799987793,385.1199951172,375.450012207,380.3099975586,10257900,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-06-01T04:00:00.000Z,376.1099853516,383.3500061035,375.9200134277,379.8599853516,6623700,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-06-02T04:00:00.000Z,377.9800109863,380.0799865723,374.7200012207,377.9200134277,3874400,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-06-03T04:00:00.000Z,380.0,387.4599914551,376.8099975586,377.0,6808400,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-06-04T04:00:00.000Z,390.0,401.3800048828,389.8200073242,396.4700012207,12666100,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
2026-06-05T04:00:00.000Z,399.5400085449,404.0400085449,397.200012207,399.4700012207,10889000,0.0,0.0,UNH,联合健康,Unitedhealth Group Incorporated,USD
