open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
309.625,310.94,305.02,306.31,48849933,AAPL.O,2026-06-01,苹果,Apple Inc.,USD
307.46,315.45,306.685,315.2,44534716,AAPL.O,2026-06-02,苹果,Apple Inc.,USD
314.175,316.94,308.85,310.26,50836705,AAPL.O,2026-06-03,苹果,Apple Inc.,USD
313.23,313.54,309.65,311.23,44869134,AAPL.O,2026-06-04,苹果,Apple Inc.,USD
464.84,466.32,458.27,460.52,53628910,MSFT.O,2026-06-01,微软,Microsoft Corporation,USD
446.88,453.5,440.43,441.31,37036801,MSFT.O,2026-06-02,微软,Microsoft Corporation,USD
438.45,440.39,424.25,427.34,39037007,MSFT.O,2026-06-03,微软,Microsoft Corporation,USD
435.81,436.15,426.41,428.05,26899511,MSFT.O,2026-06-04,微软,Microsoft Corporation,USD
376.52,378.56,373.52,376.37,28672120,GOOGL.O,2026-06-01,谷歌A,Alphabet Inc.,USD
366.59,373.54,358.44,361.85,50412300,GOOGL.O,2026-06-02,谷歌A,Alphabet Inc.,USD
362.03,366.45,358.08,358.99,55441583,GOOGL.O,2026-06-03,谷歌A,Alphabet Inc.,USD
358.9,373.2499,358.21,372.19,44055520,GOOGL.O,2026-06-04,谷歌A,Alphabet Inc.,USD
266.285,266.63,260.7,261.26,53604380,AMZN.O,2026-06-01,亚马逊,"Amazon.Com, Inc.",USD
257.16,261.2025,254.37,256.52,41810982,AMZN.O,2026-06-02,亚马逊,"Amazon.Com, Inc.",USD
254.7,257.09,247.71,250.02,51394191,AMZN.O,2026-06-03,亚马逊,"Amazon.Com, Inc.",USD
253.12,255.83,251.75,253.79,35609769,AMZN.O,2026-06-04,亚马逊,"Amazon.Com, Inc.",USD
215.47885913853,224.60821885914,215.44889406286,224.09881257276,212850685,NVDA.O,2026-06-01,英伟达,Nvidia Corporation,USD
226.91552968568,232.00959254948,221.09231664726,222.56060535506,193362903,NVDA.O,2026-06-02,英伟达,Nvidia Corporation,USD
221.46188591385,222.56060535506,214.26027939464,214.5,160907001,NVDA.O,2026-06-03,英伟达,Nvidia Corporation,USD
213.905,221.6,210.97,218.66,169022152,NVDA.O,2026-06-04,英伟达,Nvidia Corporation,USD
