contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ADBE260618C00130000,2026-05-29T19:33:20.000Z,130.0,128.1,118.45,124.55,0.0,0.0,2.0,4,1.3828155859,True,REGULAR,USD
ADBE260618C00135000,2026-02-19T16:58:39.000Z,135.0,126.38,0.0,0.0,0.0,0.0,,0,1e-05,True,REGULAR,USD
ADBE260618C00140000,2026-05-26T14:44:46.000Z,140.0,102.9,108.7,114.9,0.0,0.0,20.0,22,1.5537131689,True,REGULAR,USD
ADBE260618C00145000,2026-03-30T19:42:29.000Z,145.0,98.0,0.0,0.0,0.0,0.0,15.0,0,1e-05,True,REGULAR,USD
ADBE260618C00150000,2026-05-29T14:56:58.000Z,150.0,101.26,98.55,104.0,0.0,0.0,22.0,35,2.0278369617,True,REGULAR,USD
ADBE260618C00155000,2026-02-23T16:36:34.000Z,155.0,95.27,0.0,0.0,0.0,0.0,1.0,0,1e-05,True,REGULAR,USD
ADBE260618C00160000,2026-06-02T16:18:54.000Z,160.0,103.1,88.8,94.3,0.0,0.0,40.0,70,1.0468797656,True,REGULAR,USD
ADBE260618C00165000,2026-03-30T19:33:12.000Z,165.0,78.65,0.0,0.0,0.0,0.0,10.0,0,1e-05,True,REGULAR,USD
ADBE260618C00170000,2026-05-29T15:28:26.000Z,170.0,84.0,78.85,84.3,0.0,0.0,27.0,79,0.9433599414,True,REGULAR,USD
ADBE260618C00175000,2026-04-23T13:54:30.000Z,175.0,63.5,74.1,79.3,0.0,0.0,18.0,52,0.966797207,True,REGULAR,USD
ADBE260618C00180000,2026-06-01T13:58:44.000Z,180.0,91.0,69.0,75.35,0.0,0.0,6.0,62,1.0766647729,True,REGULAR,USD
ADBE260618C00185000,2026-06-02T16:18:45.000Z,185.0,78.35,64.1,69.6,0.0,0.0,23.0,78,0.9003916211,True,REGULAR,USD
ADBE260618C00190000,2026-06-03T16:52:48.000Z,190.0,67.7,59.4,64.05,0.0,0.0,10.0,70,0.7841818457,True,REGULAR,USD
ADBE260618C00195000,2026-06-02T16:07:49.000Z,195.0,67.93,54.35,59.85,0.0,0.0,39.0,83,0.8388687988,True,REGULAR,USD
ADBE260618C00200000,2026-06-05T17:42:53.000Z,200.0,52.23,49.95,55.0,-12.789997,-19.670866,4.0,168,0.8479019116,True,REGULAR,USD
ADBE260618C00205000,2026-06-02T14:53:08.000Z,205.0,58.67,45.05,49.9,0.0,0.0,3.0,65,0.7744163184,True,REGULAR,USD
ADBE260618C00210000,2026-06-04T19:02:18.000Z,210.0,50.45,40.45,45.85,0.0,0.0,36.0,147,0.7995625513,True,REGULAR,USD
ADBE260618C00215000,2026-05-26T17:10:18.000Z,215.0,31.57,36.0,41.45,0.0,0.0,8.0,7,0.7868673657,True,REGULAR,USD
ADBE260618C00220000,2026-06-05T19:54:36.000Z,220.0,34.0,31.9,36.6,-12.18,-26.375055,1.0,133,0.75537354,True,REGULAR,USD
ADBE260618C00222500,2026-06-05T19:54:36.000Z,222.5,31.91,29.8,34.0,-12.09,-27.477274,1.0,28,0.7258328198,True,REGULAR,USD
ADBE260618C00225000,2026-06-05T19:36:01.000Z,225.0,30.3,28.4,32.9,-3.4000015,-10.089025,219.0,524,0.7854025366,True,REGULAR,USD
ADBE260618C00227500,2026-06-05T14:54:08.000Z,227.5,29.85,26.35,29.9,6.6499996,28.66379,20.0,1,0.7360866235,True,REGULAR,USD
ADBE260618C00230000,2026-06-04T15:04:11.000Z,230.0,37.4,25.05,28.05,0.0,0.0,33.0,868,0.7557397473,True,REGULAR,USD
