Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-03-06T05:00:00.000Z,25.7700004578,25.9300003052,25.0699996948,25.4300003052,7090200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-09T04:00:00.000Z,25.4200000763,26.25,25.2649993896,26.1499996185,11447700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-10T04:00:00.000Z,26.1800003052,26.3099994659,25.4699993134,25.6399993896,9866700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-11T04:00:00.000Z,25.5300006866,26.0,25.1550006866,25.7000007629,6379100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-12T04:00:00.000Z,25.6299991608,25.9300003052,24.5149993896,24.6000003815,6865700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-13T04:00:00.000Z,25.1200008392,25.7399997711,24.8899993896,25.4699993134,4540900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-16T04:00:00.000Z,25.2000007629,25.6100006104,24.9099998474,25.1200008392,5416400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-17T04:00:00.000Z,25.3999996185,25.6399993896,25.0849990845,25.2199993134,4596300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-18T04:00:00.000Z,25.1000003815,25.3099994659,24.3299999237,24.3299999237,6294900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-19T04:00:00.000Z,24.0499992371,24.6499996185,24.0200004578,24.2800006866,5916400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-20T04:00:00.000Z,24.2399997711,24.2800006866,23.1650009155,23.3700008392,11240100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-23T04:00:00.000Z,23.6000003815,24.0200004578,23.2600002289,23.5900001526,8140200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-24T04:00:00.000Z,23.4950008392,23.5799999237,22.7399997711,23.4500007629,12703100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-25T04:00:00.000Z,25.9549999237,27.3999996185,25.0,26.5699996948,24655500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-26T04:00:00.000Z,26.6900005341,27.3999996185,26.4300003052,27.0100002289,11627700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-27T04:00:00.000Z,26.7399997711,26.7849998474,25.6550006866,26.1200008392,9074000,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-30T04:00:00.000Z,26.7000007629,27.0200004578,25.5400009155,25.8799991608,9816900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-03-31T04:00:00.000Z,26.6499996185,27.0650005341,26.3099994659,27.0,8389700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-01T04:00:00.000Z,26.9400005341,27.3600006104,26.6000003815,26.6200008392,6255700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-02T04:00:00.000Z,26.3700008392,27.5300006866,26.1949996948,26.8700008392,6478800,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-06T04:00:00.000Z,26.6200008392,26.9400005341,26.2299995422,26.5400009155,7583500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-07T04:00:00.000Z,26.3899993896,26.7600002289,25.9200000763,26.2199993134,8120100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-08T04:00:00.000Z,27.125,27.2099990845,26.3099994659,26.4599990845,10253100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-09T04:00:00.000Z,26.3899993896,26.8199996948,25.9449996948,26.0,7950700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-10T04:00:00.000Z,26.0300006866,26.6989994049,25.1000003815,25.2099990845,7356900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-13T04:00:00.000Z,25.4699993134,25.6399993896,24.75,25.3600006104,6203700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-14T04:00:00.000Z,25.4500007629,26.4799995422,25.4400005341,25.8899993896,4971700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-15T04:00:00.000Z,26.4699993134,27.2399997711,26.3829994202,27.1700000763,8423200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-16T04:00:00.000Z,27.4599990845,27.7000007629,26.5499992371,26.9699993134,5770000,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-17T04:00:00.000Z,27.5,27.75,27.2199993134,27.5200004578,5715900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-20T04:00:00.000Z,27.5949993134,28.9549999237,27.4750003815,28.8600006104,8961100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-21T04:00:00.000Z,29.0599994659,29.25,27.5400009155,27.7399997711,7794200,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-22T04:00:00.000Z,27.8299999237,28.1000003815,26.5149993896,27.0400009155,6252900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-23T04:00:00.000Z,26.7649993896,26.7649993896,25.2999992371,25.6499996185,7239900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-24T04:00:00.000Z,25.6399993896,26.4150009155,25.1700000763,26.0200004578,5804400,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-27T04:00:00.000Z,25.7099990845,26.4799995422,25.1770000458,25.2199993134,7505700,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-28T04:00:00.000Z,25.4899997711,25.9200000763,25.2450008392,25.5900001526,6466600,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-29T04:00:00.000Z,25.3099994659,26.1700000763,24.9500007629,25.9599990845,6308900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-04-30T04:00:00.000Z,25.8500003815,25.8500003815,24.8950004578,25.4200000763,8097500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-01T04:00:00.000Z,25.5,26.0599994659,25.1900005341,25.5400009155,5877500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-04T04:00:00.000Z,25.6000003815,25.9799995422,24.5300006866,24.5599994659,7370600,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-05T04:00:00.000Z,24.6499996185,24.8199996948,24.2800006866,24.5400009155,5544900,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-06T04:00:00.000Z,24.8799991608,24.9200000763,24.1599998474,24.5900001526,4770600,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-07T04:00:00.000Z,24.8999996185,25.3199996948,23.1949996948,23.6700000763,11752100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-08T04:00:00.000Z,23.7049999237,23.7049999237,22.4699993134,22.9699993134,13920300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-11T04:00:00.000Z,22.7000007629,23.2399997711,22.4500007629,22.4899997711,12139500,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-12T04:00:00.000Z,22.9099998474,23.3500003815,22.7549991608,22.8999996185,8986300,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
2026-05-13T04:00:00.000Z,22.75,22.75,21.3999996185,21.6499996185,9950100,0.0,0.0,CHWY,Chewy,"Chewy, Inc.",USD
