contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CHWY260612C00012000,2026-06-03T17:42:17.000Z,12.0,9.16,6.55,9.75,0.0,0.0,2,2,5.0507849365,True,REGULAR,USD
CHWY260612C00013000,2026-06-03T17:40:56.000Z,13.0,8.15,7.15,8.75,0.0,0.0,2,3,2.9023464941,True,REGULAR,USD
CHWY260612C00014000,2026-06-03T17:41:24.000Z,14.0,7.12,6.15,7.6,0.0,0.0,4,3,2.3437541406,True,REGULAR,USD
CHWY260612C00015500,2026-06-03T17:40:22.000Z,15.5,5.67,4.7,6.9,0.0,0.0,1,1,2.632815918,True,REGULAR,USD
CHWY260612C00017000,2026-06-02T19:09:23.000Z,17.0,4.51,3.2,4.05,0.0,0.0,1,2,1.691407793,True,REGULAR,USD
CHWY260612C00018000,2026-06-02T16:13:45.000Z,18.0,3.58,2.52,3.8,0.0,0.0,6,12,1.5039087305,True,REGULAR,USD
CHWY260612C00019000,2026-06-05T17:38:08.000Z,19.0,2.03,1.83,2.35,-0.6700001,-24.814817,4,7,1.0644578027,True,REGULAR,USD
CHWY260612C00019500,2026-06-05T19:06:18.000Z,19.5,1.74,1.45,1.86,-0.47000003,-21.266968,5,104,0.9570316797,True,REGULAR,USD
CHWY260612C00020000,2026-06-05T19:43:40.000Z,20.0,1.42,1.3,1.6,-0.09000003,-5.960267,137,199,1.0605515723,True,REGULAR,USD
CHWY260612C00020500,2026-06-05T19:39:11.000Z,20.5,1.25,1.05,1.45,-0.120000005,-8.759125,47,141,1.1210981445,True,REGULAR,USD
CHWY260612C00021000,2026-06-05T19:21:44.000Z,21.0,0.95,0.95,1.1,-0.28000003,-22.764229,185,223,1.125004375,False,REGULAR,USD
CHWY260612C00021500,2026-06-05T19:26:34.000Z,21.5,0.67,0.77,0.92,-0.22999996,-25.555552,125,102,1.1406292969,False,REGULAR,USD
CHWY260612C00022000,2026-06-05T19:41:58.000Z,22.0,0.61,0.5,0.75,-0.14999998,-19.73684,771,717,1.0859420703,False,REGULAR,USD
CHWY260612C00022500,2026-06-05T19:47:45.000Z,22.5,0.55,0.41,0.76,0.02000004,3.7735927,78,455,1.1894571777,False,REGULAR,USD
CHWY260612C00023000,2026-06-05T19:56:35.000Z,23.0,0.35,0.35,0.46,-0.15,-30.000002,63,559,1.1171919141,False,REGULAR,USD
CHWY260612C00023500,2026-06-05T17:28:44.000Z,23.5,0.27,0.26,0.34,-0.06999999,-20.588232,33,107,1.099613877,False,REGULAR,USD
CHWY260612C00024000,2026-06-05T19:53:59.000Z,24.0,0.24,0.21,0.27,-0.040000007,-14.285716,219,637,1.1171919141,False,REGULAR,USD
CHWY260612C00024500,2026-06-05T19:54:49.000Z,24.5,0.19,0.1,0.21,-0.030000001,-13.636364,7,90,1.066410918,False,REGULAR,USD
CHWY260612C00025000,2026-06-05T19:50:50.000Z,25.0,0.16,0.12,0.26,0.0,0.0,126,1118,1.2226601367,False,REGULAR,USD
CHWY260612C00025500,2026-06-04T17:39:39.000Z,25.5,0.14,0.05,0.23,0.0,0.0,2,54,1.2070352148,False,REGULAR,USD
CHWY260612C00026000,2026-06-05T19:56:46.000Z,26.0,0.09,0.07,0.1,-0.009999998,-9.999998,46,247,1.1484417578,False,REGULAR,USD
CHWY260612C00026500,2026-06-05T16:02:54.000Z,26.5,0.07,0.01,0.36,-0.030000001,-30.000002,232,20,1.4609401953,False,REGULAR,USD
CHWY260612C00027000,2026-06-05T16:00:08.000Z,27.0,0.05,0.04,0.07,-0.02,-28.571426,21,229,1.1875040625,False,REGULAR,USD
CHWY260612C00027500,2026-06-05T19:38:41.000Z,27.5,0.05,0.0,0.06,-0.009999998,-16.666664,37,6,1.125004375,False,REGULAR,USD
CHWY260612C00028000,2026-06-05T14:54:20.000Z,28.0,0.04,0.0,2.15,0.02,100.0,6,87,2.9570338574,False,REGULAR,USD
CHWY260612C00029000,2026-06-05T16:37:15.000Z,29.0,0.02,0.0,0.28,-0.030000001,-60.000004,7,37,1.7109389453,False,REGULAR,USD
CHWY260612C00030000,2026-06-05T18:45:28.000Z,30.0,0.02,0.0,0.02,0.0,0.0,15,174,1.2187539062,False,REGULAR,USD
CHWY260612C00031000,2026-06-04T15:18:46.000Z,31.0,0.02,0.0,0.57,0.0,0.0,37,38,2.300785498,False,REGULAR,USD
CHWY260612C00032000,2026-05-29T13:47:30.000Z,32.0,0.03,0.0,0.76,0.0,0.0,30,38,2.6113315967,False,REGULAR,USD
CHWY260612C00033000,2026-05-04T14:43:57.000Z,33.0,0.21,0.0,2.09,0.0,0.0,1,18,3.7128913428,False,REGULAR,USD
CHWY260612C00035000,2026-06-05T19:58:21.000Z,35.0,0.01,0.0,0.01,-0.060000002,-85.71429,1,3,1.5000025,False,REGULAR,USD
