contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
FDX260626C00240000,2026-05-28T13:41:10.000Z,240.0,167.74,170.5,174.5,0.0,0.0,,1,4.848880892,True,REGULAR,USD
FDX260626C00285000,2026-05-28T17:51:18.000Z,285.0,124.68,125.65,130.0,0.0,0.0,,1,3.7077033675,True,REGULAR,USD
FDX260626C00305000,2026-05-07T17:59:13.000Z,305.0,73.0,105.6,110.0,0.0,0.0,,1,3.2516498201,True,REGULAR,USD
FDX260626C00310000,2026-05-07T17:59:06.000Z,310.0,68.2,100.7,105.0,0.0,0.0,,4,3.1433737236,True,REGULAR,USD
FDX260626C00315000,2026-05-20T16:55:23.000Z,315.0,74.96,95.95,100.0,0.0,0.0,,2,3.0388207623,True,REGULAR,USD
FDX260626C00330000,2026-05-15T13:49:35.000Z,330.0,50.35,81.9,85.5,0.0,0.0,1.0,2,2.7420075395,True,REGULAR,USD
FDX260626C00335000,2026-05-15T14:48:26.000Z,335.0,47.39,77.05,81.0,0.0,0.0,1.0,1,2.6467929338,False,REGULAR,USD
FDX260626C00355000,2026-05-14T15:17:07.000Z,355.0,33.2,59.3,63.0,0.0,0.0,,0,2.2921185275,False,REGULAR,USD
FDX260626C00360000,2026-05-20T19:57:46.000Z,360.0,36.05,54.2,58.5,0.0,0.0,,2,2.1913497365,False,REGULAR,USD
FDX260626C00365000,2026-05-18T18:39:00.000Z,365.0,21.64,49.8,54.0,0.0,0.0,1.0,1,2.1009568961,False,REGULAR,USD
FDX260626C00370000,2026-05-20T14:42:31.000Z,370.0,27.5,46.5,50.0,0.0,0.0,1.0,2,2.0351611621,False,REGULAR,USD
FDX260626C00375000,2026-05-28T14:44:26.000Z,375.0,42.94,41.75,46.0,0.0,0.0,2.0,8,1.944275181,False,REGULAR,USD
FDX260626C00380000,2026-05-29T14:55:35.000Z,380.0,40.4,38.85,41.45,0.9600029,2.4340847,2.0,21,1.8724981961,False,REGULAR,USD
FDX260626C00385000,2026-05-26T13:43:02.000Z,385.0,28.93,35.1,38.4,0.0,0.0,1.0,4,1.8090829858,False,REGULAR,USD
FDX260626C00390000,2026-05-28T19:50:04.000Z,390.0,32.9,31.55,34.45,0.0,0.0,3.0,11,1.7316297598,False,REGULAR,USD
FDX260626C00395000,2026-05-27T13:40:36.000Z,395.0,30.8,28.45,31.05,0.0,0.0,4.0,10,1.6677262708,False,REGULAR,USD
FDX260626C00400000,2026-05-29T13:54:58.000Z,400.0,27.85,25.35,28.05,4.950001,21.615725,1.0,44,1.6073017682,False,REGULAR,USD
FDX260626C00405000,2026-05-28T13:45:20.000Z,405.0,21.15,22.4,25.15,0.0,0.0,1.0,13,1.5476096838,False,REGULAR,USD
FDX260626C00410000,2026-05-29T19:40:25.000Z,410.0,20.44,19.85,22.3,-0.1099987,-0.5352735,3.0,67,1.4919458997,False,REGULAR,USD
FDX260626C00415000,2026-05-29T15:39:35.000Z,415.0,17.77,17.15,19.5,-0.37999916,-2.0936594,4.0,32,1.4299955258,False,REGULAR,USD
FDX260626C00420000,2026-05-28T19:21:55.000Z,420.0,15.87,14.85,17.55,0.0,0.0,20.0,32,1.386477677,False,REGULAR,USD
FDX260626C00425000,2026-05-29T19:53:35.000Z,425.0,14.26,12.85,15.4,1.2300005,9.439758,5.0,26,1.3403353296,False,REGULAR,USD
FDX260626C00430000,2026-05-29T19:23:17.000Z,430.0,11.55,10.9,13.2,-0.40999985,-3.4280922,1.0,14,1.2888829501,False,REGULAR,USD
FDX260626C00435000,2026-05-29T13:52:21.000Z,435.0,11.5,9.55,11.75,2.71,30.83049,2.0,7,1.2606238141,False,REGULAR,USD
FDX260626C00440000,2026-05-29T19:06:47.000Z,440.0,8.51,7.7,10.65,-0.26000023,-2.9646547,2.0,88,1.2244911823,False,REGULAR,USD
FDX260626C00445000,2026-05-29T13:52:18.000Z,445.0,8.6,6.75,8.5,4.8,126.31578,2.0,20,1.1788981485,False,REGULAR,USD
FDX260626C00450000,2026-05-29T18:26:45.000Z,450.0,6.59,5.45,7.55,-0.5999999,-8.344922,1.0,186,1.1483196881,False,REGULAR,USD
FDX260626C00455000,2026-05-29T13:55:50.000Z,455.0,6.07,4.75,7.65,0.6700001,12.407409,1.0,23,1.1586956128,False,REGULAR,USD
FDX260626C00460000,2026-05-29T17:44:25.000Z,460.0,4.63,3.6,5.6,-0.77,-14.259258,1.0,40,1.0896041614,False,REGULAR,USD
FDX260626C00470000,2026-05-28T16:57:11.000Z,470.0,3.3,2.35,5.25,0.0,0.0,2.0,168,1.0841110248,False,REGULAR,USD
FDX260626C00480000,2026-05-27T15:17:53.000Z,480.0,2.9,1.14,4.7,0.0,0.0,10.0,10,1.0620164087,False,REGULAR,USD
FDX260626C00490000,2026-05-22T14:31:23.000Z,490.0,0.78,0.88,4.35,0.0,0.0,2.0,4,1.0783737488,False,REGULAR,USD
FDX260626C00500000,2026-05-29T19:24:47.000Z,500.0,1.19,0.29,2.3,0.39000005,48.750004,1.0,14,0.9750979053,False,REGULAR,USD
