contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ORCL260618C00060000,2026-06-05T16:19:08.000Z,60.0,156.55,152.25,155.15,-20.399994,-11.528678,154,397,2.3593791016,True,REGULAR,USD
ORCL260618C00065000,2026-05-21T14:00:32.000Z,65.0,123.93,146.75,150.95,0.0,0.0,1,8,2.7656280859,True,REGULAR,USD
ORCL260618C00070000,2026-04-09T17:26:31.000Z,70.0,68.75,121.55,125.45,0.0,0.0,11,33,1e-05,True,REGULAR,USD
ORCL260618C00075000,2026-04-09T17:08:00.000Z,75.0,63.85,116.75,120.45,0.0,0.0,2,6,1e-05,True,REGULAR,USD
ORCL260618C00080000,2026-06-02T14:12:38.000Z,80.0,168.69,132.25,135.55,0.0,0.0,270,280,2.382816543,True,REGULAR,USD
ORCL260618C00085000,2026-04-30T14:19:21.000Z,85.0,77.21,126.8,130.8,0.0,0.0,10,5,2.0820360449,True,REGULAR,USD
ORCL260618C00090000,2026-05-18T16:45:11.000Z,90.0,95.26,122.3,125.65,0.0,0.0,1,83,2.2031294922,True,REGULAR,USD
ORCL260618C00095000,2026-05-21T14:51:35.000Z,95.0,93.94,117.35,120.65,0.0,0.0,40,65,2.099614126,True,REGULAR,USD
ORCL260618C00100000,2026-06-05T18:46:46.000Z,100.0,110.0,112.35,115.65,-28.0,-20.289854,6,546,1.9785157324,True,REGULAR,USD
ORCL260618C00105000,2026-06-01T15:00:10.000Z,105.0,133.05,107.4,110.7,0.0,0.0,140,166,1.9023442383,True,REGULAR,USD
ORCL260618C00110000,2026-06-03T13:33:48.000Z,110.0,129.75,102.45,105.75,0.0,0.0,3,133,1.8261727441,True,REGULAR,USD
ORCL260618C00115000,2026-06-05T18:56:51.000Z,115.0,96.51,97.45,100.75,43.36,81.58043,10,59,1.7158217334,True,REGULAR,USD
ORCL260618C00120000,2026-06-05T14:47:49.000Z,120.0,103.02,92.5,95.8,-13.07,-11.258507,2,266,1.6396502393,True,REGULAR,USD
ORCL260618C00125000,2026-06-05T18:38:08.000Z,125.0,86.93,87.55,90.65,-33.269997,-27.678865,3,1063,1.5087915186,True,REGULAR,USD
ORCL260618C00130000,2026-06-05T15:42:17.000Z,130.0,88.4,82.6,85.55,-14.599998,-14.174756,12,982,1.3974639502,True,REGULAR,USD
ORCL260618C00135000,2026-06-05T16:02:06.000Z,135.0,82.8,77.7,80.95,-16.599998,-16.7002,1,1253,1.4189482178,True,REGULAR,USD
ORCL260618C00140000,2026-06-05T17:46:13.000Z,140.0,71.4,72.75,76.05,-26.739998,-27.246788,11,2390,1.349612627,True,REGULAR,USD
ORCL260618C00145000,2026-06-05T15:43:16.000Z,145.0,73.35,67.9,71.2,-12.060005,-14.1201315,1,2807,1.3022495825,True,REGULAR,USD
ORCL260618C00150000,2026-06-05T18:48:46.000Z,150.0,60.18,63.0,66.35,-21.519997,-26.340267,12,5919,1.2412147314,True,REGULAR,USD
ORCL260618C00155000,2026-06-05T15:56:08.000Z,155.0,63.84,58.2,61.55,-18.689999,-22.646309,64,1886,1.193851687,True,REGULAR,USD
ORCL260618C00160000,2026-06-05T18:00:38.000Z,160.0,56.36,53.45,56.5,-22.71,-28.721386,25,7796,1.1191450293,True,REGULAR,USD
ORCL260618C00165000,2026-06-05T18:22:53.000Z,165.0,49.09,48.7,51.6,-25.460003,-34.151577,11,8383,1.0568894812,True,REGULAR,USD
ORCL260618C00170000,2026-06-05T19:24:15.000Z,170.0,43.88,44.4,47.35,-24.069996,-35.4231,27,7451,1.0749557971,True,REGULAR,USD
ORCL260618C00172500,2026-06-03T14:14:08.000Z,172.5,62.1,42.2,45.3,0.0,0.0,20,72,1.0751999365,True,REGULAR,USD
ORCL260618C00175000,2026-06-05T18:35:34.000Z,175.0,38.5,40.0,43.2,-24.630001,-39.014732,114,6240,1.0666550574,True,REGULAR,USD
ORCL260618C00177500,2026-06-05T17:52:00.000Z,177.5,40.8,37.9,41.0,-20.05,-32.949875,1,83,1.0542039478,True,REGULAR,USD
ORCL260618C00180000,2026-06-05T19:55:53.000Z,180.0,38.0,35.75,38.9,-21.54,-36.17736,1518,7881,1.0405321411,True,REGULAR,USD
ORCL260618C00182500,2026-06-05T14:23:02.000Z,182.5,39.0,33.85,36.6,-10.919998,-21.874996,3,66,1.0258837769,True,REGULAR,USD
ORCL260618C00185000,2026-06-05T19:48:48.000Z,185.0,33.75,32.0,34.6,-17.25,-33.82353,137,6237,1.0244189404,True,REGULAR,USD
ORCL260618C00187500,2026-06-05T19:31:04.000Z,187.5,30.5,30.3,32.2,-16.55,-35.175343,3,448,1.0068409033,True,REGULAR,USD
ORCL260618C00190000,2026-06-05T19:52:50.000Z,190.0,29.55,29.0,29.7,-19.96,-40.31509,365,11271,0.9987793091,True,REGULAR,USD
ORCL260618C00192500,2026-06-05T17:06:48.000Z,192.5,28.7,26.7,28.65,-19.52,-40.48113,3,490,1.0046436487,True,REGULAR,USD
ORCL260618C00195000,2026-06-05T18:22:53.000Z,195.0,25.4,25.05,26.9,-19.6,-43.555557,70,4903,1.0031788123,True,REGULAR,USD
ORCL260618C00197500,2026-06-05T18:32:27.000Z,197.5,22.75,23.4,25.2,-20.05,-46.845795,102,168,0.9987793091,True,REGULAR,USD
