Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
87526,2240666.0,,Sale at price 25.60 per share.,SINGH SUMIT,Chief Executive Officer,,2026-05-04T00:00:00.000,D/I
560286,0.0,,Stock Award(Grant) at price 0.00 per share.,SINGH SUMIT,Chief Executive Officer,,2026-04-08T00:00:00.000,D/I
32571,0.0,,Stock Award(Grant) at price 0.00 per share.,BILLINGS WILLIAM G.,Officer,,2026-04-08T00:00:00.000,D
423654,0.0,,Stock Award(Grant) at price 0.00 per share.,DEPPE CHRISTOPHER S.,Chief Financial Officer,,2026-04-08T00:00:00.000,D
37486,0.0,,Stock Award(Grant) at price 0.00 per share.,HU DA-WAI,General Counsel,,2026-04-08T00:00:00.000,D
8149,219290.0,,Sale at price 26.91 per share.,HU DA-WAI,General Counsel,,2026-04-01T00:00:00.000,D
573937,0.0,,Stock Award(Grant) at price 0.00 per share.,SINGH SUMIT,Chief Executive Officer,,2026-03-25T00:00:00.000,D/I
14470,0.0,,Stock Award(Grant) at price 0.00 per share.,BILLINGS WILLIAM G.,Officer,,2026-03-25T00:00:00.000,D
4342,0.0,,Stock Award(Grant) at price 0.00 per share.,DEPPE CHRISTOPHER S.,Chief Financial Officer,,2026-03-25T00:00:00.000,D
49962,0.0,,Stock Award(Grant) at price 0.00 per share.,HU DA-WAI,General Counsel,,2026-03-25T00:00:00.000,D
3043,81765.0,,Sale at price 26.87 per share.,DEPPE CHRISTOPHER S.,Chief Financial Officer,,2026-03-02T00:00:00.000,D
13013,377247.0,,Sale at price 28.99 per share.,MEHTA SATISH,Chief Technology Officer,,2026-02-02T00:00:00.000,D
14928,501774.0,,Sale at price 33.53 - 33.73 per share.,MEHTA SATISH,Chief Technology Officer,,2025-12-03T00:00:00.000,D
41428,1397549.0,,Sale at price 33.73 per share.,SINGH SUMIT,Chief Executive Officer,,2025-12-02T00:00:00.000,D/I
7930,259138.0,,Sale at price 32.65 - 32.72 per share.,MEHTA SATISH,Chief Technology Officer,,2025-11-04T00:00:00.000,D
1121,36677.0,,Sale at price 32.72 per share.,BILLINGS WILLIAM G.,Officer,,2025-11-03T00:00:00.000,D
18578,607837.0,,Sale at price 32.72 per share.,SINGH SUMIT,Chief Executive Officer,,2025-11-03T00:00:00.000,D/I
13280212,,,,"ARGOS HOLDINGS GP, L.L.C.",Beneficial Owner of more than 10% of a Class of Security,,2025-10-09T00:00:00.000,I
13280212,499999982.0,,Sale at price 37.65 per share.,"ARGOS HOLDINGS GP, L.L.C.",Beneficial Owner of more than 10% of a Class of Security,,2025-10-09T00:00:00.000,I
46765,1622278.0,,Sale at price 34.69 per share.,MEHTA SATISH,Chief Technology Officer,,2025-09-15T00:00:00.000,D
14694,524850.0,,Sale at price 35.57 - 35.82 per share.,MEHTA SATISH,Chief Technology Officer,,2025-08-05T00:00:00.000,D
20142,716461.0,,Sale at price 35.57 per share.,BILLINGS WILLIAM G.,Officer,,2025-08-04T00:00:00.000,D
33821,1203030.0,,Sale at price 35.57 per share.,SINGH SUMIT,Chief Executive Officer,,2025-08-04T00:00:00.000,D/I
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,NELSON JAMES LARRY,Director,,2025-07-14T00:00:00.000,D
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,ELLINGER DEBORAH G.,Director,,2025-07-14T00:00:00.000,D
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,STAR JAMES A.,Director,,2025-07-14T00:00:00.000,D
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,NESBITT MARTIN H,Director,,2025-07-14T00:00:00.000,D
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,DICKSON KRISTINE,Director,,2025-07-14T00:00:00.000,D
4921,0.0,,Stock Award(Grant) at price 0.00 per share.,GOLDHABER NATHANIEL,Director,,2025-07-14T00:00:00.000,D
29940120,,,,"ARGOS HOLDINGS GP, L.L.C.",Beneficial Owner of more than 10% of a Class of Security,,2025-06-25T00:00:00.000,I
29940120,1250000010.0,,Sale at price 41.75 per share.,"ARGOS HOLDINGS GP, L.L.C.",Beneficial Owner of more than 10% of a Class of Security,,2025-06-25T00:00:00.000,I
208090,8826525.0,,Sale at price 42.08 - 43.23 per share.,SINGH SUMIT,Chief Executive Officer,,2025-05-19T00:00:00.000,D
198806,8056695.0,,Sale at price 40.09 - 41.02 per share.,SINGH SUMIT,Chief Executive Officer,,2025-05-14T00:00:00.000,D
