Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,513.0,520.299987793,508.8999938965,515.1900024414,1660500,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-09T05:00:00.000Z,512.2299804688,529.8959960938,511.7300109863,517.9799804688,2035800,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-10T05:00:00.000Z,516.0,521.6099853516,504.5400085449,519.5399780273,2359300,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-11T05:00:00.000Z,516.6699829102,528.1900024414,512.5100097656,517.6500244141,2001500,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-12T05:00:00.000Z,516.4099731445,517.4359741211,498.7600097656,504.7799987793,2677700,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-15T05:00:00.000Z,509.0100097656,509.0100097656,487.4299926758,487.4700012207,2184900,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-16T05:00:00.000Z,486.4840087891,491.4400024414,482.0,488.5299987793,1758700,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-17T05:00:00.000Z,489.4100036621,490.4400024414,469.8349914551,470.0199890137,2317300,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-18T05:00:00.000Z,479.700012207,482.0400085449,473.9100036621,477.2600097656,1835100,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-19T05:00:00.000Z,480.0,489.2049865723,478.6300048828,481.2799987793,4662700,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-22T05:00:00.000Z,479.7799987793,485.8699951172,474.8500061035,483.1400146484,2303300,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-23T05:00:00.000Z,482.4899902344,483.5899963379,473.5,478.8399963379,2053000,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-24T05:00:00.000Z,476.8299865723,478.0,470.6740112305,477.1099853516,745100,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-26T05:00:00.000Z,477.0,482.1549987793,475.1499938965,481.1900024414,1150700,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
2025-12-29T05:00:00.000Z,478.2950134277,483.2900085449,474.6340026855,475.9100036621,1314600,0.0,0.0,CRWD,CrowdStrike Holdings,"Crowdstrike Holdings, Inc.",USD
