Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership
4123,1012574,,Conversion of Exercise of derivative security at price 244.88 - 247.08 per share.,GRIFFITH SUSAN PATRICIA,Director,,2026-05-05T00:00:00.000,D
4727,693073,,Conversion of Exercise of derivative security at price 146.62 per share.,GORMAN STEPHEN E,Director,,2026-04-27T00:00:00.000,D
21305,4917046,,Conversion of Exercise of derivative security at price 207.31 - 261.78 per share.,SUBRAMANIAM RAJESH,Chief Executive Officer,,2026-04-20T00:00:00.000,D
16959,6164156,,Sale at price 363.30 - 363.61 per share.,BRIGHTMAN TRACY B,Officer,,2026-04-15T00:00:00.000,D
5795,2138355,,Sale at price 369.00 per share.,SCHWAB SUSAN C,Director,,2026-04-15T00:00:00.000,D
11865,2986793,,Conversion of Exercise of derivative security at price 229.60 - 294.60 per share.,BRIGHTMAN TRACY B,Officer,,2026-04-15T00:00:00.000,D
5795,1341821,,Conversion of Exercise of derivative security at price 219.26 - 244.88 per share.,SCHWAB SUSAN C,Director,,2026-04-15T00:00:00.000,D
20450,7493856,,Sale at price 366.02 - 367.37 per share.,ADAMS GINA F,General Counsel,,2026-04-14T00:00:00.000,D
4900,1802661,,Sale at price 367.89 per share.,PREET KAWAL,Officer,,2026-04-14T00:00:00.000,D
2700,999068,,Sale at price 370.03 per share.,CARERE BRIE,Officer,,2026-04-14T00:00:00.000,D
600,0,,Stock Gift at price 0.00 per share.,SMITH RICHARD W.,Officer and Director,,2026-04-14T00:00:00.000,I
20450,3077156,,Conversion of Exercise of derivative security at price 130.96 - 162.82 per share.,ADAMS GINA F,General Counsel,,2026-04-14T00:00:00.000,D
5313,1264679,,Conversion of Exercise of derivative security at price 130.96 - 294.61 per share.,ERWIN GUY M II,Officer,,2026-04-14T00:00:00.000,D
4900,1025921,,Conversion of Exercise of derivative security at price 207.31 - 214.00 per share.,PREET KAWAL,Officer,,2026-04-14T00:00:00.000,D
3805,619530,,Conversion of Exercise of derivative security at price 162.82 per share.,SMITH RICHARD W.,Officer and Director,,2026-04-14T00:00:00.000,D
15100,2821168,,Conversion of Exercise of derivative security at price 147.28 - 244.88 per share.,MARTIN ROBERT BRAD,Officer and Director,,2026-04-14T00:00:00.000,D
4153,0,,Stock Award(Grant) at price 0.00 per share.,MARTIN ROBERT BRAD,Officer and Director,,2026-03-23T00:00:00.000,D
13225,2153294,,Conversion of Exercise of derivative security at price 162.82 per share.,SUBRAMANIAM RAJESH,Chief Executive Officer,,2026-02-18T00:00:00.000,D
823,0,,Stock Award(Grant) at price 0.00 per share.,NORTON NANCY A,Director,,2025-09-29T00:00:00.000,D
1118,69881,,Stock Award(Grant) at price 0.00 - 236.88 per share.,DAVILA SILVIA,Director,,2025-09-29T00:00:00.000,D
823,0,,Stock Award(Grant) at price 0.00 per share.,LANE AMY BETH,Director,,2025-09-29T00:00:00.000,D
1118,69881,,Stock Award(Grant) at price 0.00 - 236.88 per share.,SCHWAB SUSAN C,Director,,2025-09-29T00:00:00.000,D
6401,0,,Stock Award(Grant) at price 0.00 per share.,MARTIN ROBERT BRAD,Officer and Director,,2025-09-29T00:00:00.000,D
823,0,,Stock Award(Grant) at price 0.00 per share.,GORMAN STEPHEN E,Director,,2025-09-29T00:00:00.000,D
823,0,,Stock Award(Grant) at price 0.00 per share.,WALSH PAUL S,Director,,2025-09-29T00:00:00.000,D
1414,139999,,Stock Award(Grant) at price 0.00 - 236.88 per share.,GRIFFITH SUSAN PATRICIA,Director,,2025-09-29T00:00:00.000,D
823,0,,Stock Award(Grant) at price 0.00 per share.,PERPALL FREDERICK,Director,,2025-09-29T00:00:00.000,D
1414,139999,,Stock Award(Grant) at price 0.00 - 236.88 per share.,RAMO JOSHUA COOPER,Director,,2025-09-29T00:00:00.000,D
1118,69881,,Stock Award(Grant) at price 0.00 - 236.88 per share.,ELLISON MARVIN R,Director,,2025-09-29T00:00:00.000,D
9302,0,,Stock Award(Grant) at price 0.00 per share.,TALWAR VISHAL,Officer,,2025-09-22T00:00:00.000,D
3610,838361,,Sale at price 232.23 per share.,RAMO JOSHUA COOPER,Director,,2025-07-23T00:00:00.000,D
3610,513017,,Conversion of Exercise of derivative security at price 142.11 per share.,RAMO JOSHUA COOPER,Director,,2025-07-23T00:00:00.000,D
3610,855353,,Sale at price 236.94 per share.,ELLISON MARVIN R,Director,,2025-07-09T00:00:00.000,D
3610,513017,,Conversion of Exercise of derivative security at price 142.11 per share.,ELLISON MARVIN R,Director,,2025-07-09T00:00:00.000,D
3610,860241,,Sale at price 238.29 per share.,WALSH PAUL S,Director,,2025-07-08T00:00:00.000,D
3610,513017,,Conversion of Exercise of derivative security at price 142.11 per share.,WALSH PAUL S,Director,,2025-07-08T00:00:00.000,D
2123,513235,,Sale at price 241.75 per share.,MARTIN ROBERT BRAD,Director,,2025-07-07T00:00:00.000,D
3610,513017,,Conversion of Exercise of derivative security at price 142.11 per share.,MARTIN ROBERT BRAD,Director,,2025-07-07T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,KRISHNASAMY SRIRAM,Officer,,2025-06-26T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,SMITH RICHARD W.,Officer,,2025-06-26T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,ADAMS GINA F,General Counsel,,2025-06-26T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,BRIGHTMAN TRACY B,Officer,,2025-06-26T00:00:00.000,D
1155,0,,Stock Award(Grant) at price 0.00 per share.,ERWIN GUY M II,Officer,,2025-06-26T00:00:00.000,D
6595,0,,Stock Award(Grant) at price 0.00 per share.,DIETRICH JOHN W,Chief Financial Officer,,2025-06-26T00:00:00.000,D
17680,0,,Stock Award(Grant) at price 0.00 per share.,SUBRAMANIAM RAJESH,Chief Executive Officer,,2025-06-26T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,SMITH JOHN ALAN,Officer,,2025-06-26T00:00:00.000,D
6325,0,,Stock Award(Grant) at price 0.00 per share.,CARERE BRIE,Officer,,2025-06-26T00:00:00.000,D
6155,1499050,,Sale at price 243.55 per share.,SMITH JOHN ALAN,Officer,,2025-03-27T00:00:00.000,D
6155,1052737,,Conversion of Exercise of derivative security at price 162.82 - 180.82 per share.,SMITH JOHN ALAN,Officer,,2025-03-27T00:00:00.000,D
4770,1153624,,Sale at price 241.85 per share.,ADAMS GINA F,General Counsel,,2025-03-24T00:00:00.000,D
4770,862511,,Conversion of Exercise of derivative security at price 180.82 per share.,ADAMS GINA F,General Counsel,,2025-03-24T00:00:00.000,D
3980,1100257,,Sale at price 276.45 per share.,SCHWAB SUSAN C,Director,,2025-01-14T00:00:00.000,D
3980,695047,,Conversion of Exercise of derivative security at price 174.64 per share.,SCHWAB SUSAN C,Director,,2025-01-14T00:00:00.000,D
20390,0,,Stock Gift at price 0.00 per share.,SMITH RICHARD W.,Officer,,2025-01-08T00:00:00.000,D/I
1000,273980,,Purchase at price 273.98 per share.,DIETRICH JOHN W,Chief Financial Officer,,2025-01-07T00:00:00.000,D
2576,713373,,Sale at price 276.93 per share.,SMITH RICHARD W.,Officer,,2025-01-07T00:00:00.000,D
3220,582240,,Conversion of Exercise of derivative security at price 180.82 per share.,SMITH RICHARD W.,Officer,,2025-01-07T00:00:00.000,D
448400,0,,Stock Gift at price 0.00 per share.,SMITH FREDERICK W,Officer and Director,,2025-01-02T00:00:00.000,D/I
333,91929,,Purchase at price 276.06 per share.,LANE AMY BETH,Director,,2024-12-26T00:00:00.000,I
5150,0,,Stock Gift at price 0.00 per share.,ADAMS GINA F,General Counsel,,2024-12-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,NORTON NANCY A,Director,,2024-09-23T00:00:00.000,D
1026,69949,,Stock Award(Grant) at price 0.00 - 258.12 per share.,DAVILA SILVIA,Director,,2024-09-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,LANE AMY BETH,Director,,2024-09-23T00:00:00.000,D
1026,69949,,Stock Award(Grant) at price 0.00 - 258.12 per share.,SCHWAB SUSAN C,Director,,2024-09-23T00:00:00.000,D
1026,69949,,Stock Award(Grant) at price 0.00 - 258.12 per share.,MARTIN ROBERT BRAD,Director,,2024-09-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,GORMAN STEPHEN E,Director,,2024-09-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,WALSH PAUL S,Director,,2024-09-23T00:00:00.000,D
1297,139898,,Stock Award(Grant) at price 0.00 - 258.12 per share.,GRIFFITH SUSAN PATRICIA,Director,,2024-09-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,PERPALL FREDERICK,Director,,2024-09-23T00:00:00.000,D
1297,139898,,Stock Award(Grant) at price 0.00 - 258.12 per share.,RAMO JOSHUA COOPER,Director,,2024-09-23T00:00:00.000,D
1297,139898,,Stock Award(Grant) at price 0.00 - 258.12 per share.,STEINER DAVID P,Director,,2024-09-23T00:00:00.000,D
755,0,,Stock Award(Grant) at price 0.00 per share.,ELLISON MARVIN R,Director,,2024-09-23T00:00:00.000,D
1958,607822,,Sale at price 310.43 per share.,CARERE BRIE,Officer,,2024-07-18T00:00:00.000,D
8421,2611718,,Sale at price 309.79 - 310.32 per share.,KRISHNASAMY SRIRAM,Officer,,2024-07-17T00:00:00.000,D
5627,791649,,Conversion of Exercise of derivative security at price 130.96 - 161.85 per share.,KRISHNASAMY SRIRAM,Officer,,2024-07-17T00:00:00.000,D
781,0,,Stock Award(Grant) at price 0.00 per share.,KRISHNASAMY SRIRAM,Officer,,2024-07-17T00:00:00.000,D
2535,758831,,Sale at price 299.34 per share.,ELLISON MARVIN R,Director,,2024-07-11T00:00:00.000,D
2535,406931,,Conversion of Exercise of derivative security at price 160.52 per share.,ELLISON MARVIN R,Director,,2024-07-11T00:00:00.000,D
116,34712,,Sale at price 299.24 per share.,ERWIN GUY M II,Officer,,2024-07-03T00:00:00.000,D
1369,407561,,Sale at price 297.71 per share.,STEINER DAVID P,Director,,2024-07-02T00:00:00.000,D
2535,406931,,Conversion of Exercise of derivative security at price 160.52 per share.,STEINER DAVID P,Director,,2024-07-02T00:00:00.000,D
77930,23044256,,Sale at price 295.49 - 296.80 per share.,ALLEN MARK RUSSELL,General Counsel,,2024-06-28T00:00:00.000,D
16010,4714625,,Sale at price 294.48 per share.,CARTER ROBERT B,Chief Technology Officer,,2024-06-28T00:00:00.000,D
2535,747126,,Sale at price 294.72 per share.,WALSH PAUL S,Director,,2024-06-28T00:00:00.000,D
72930,11839789,,Conversion of Exercise of derivative security at price 130.96 - 219.26 per share.,ALLEN MARK RUSSELL,General Counsel,,2024-06-28T00:00:00.000,D
16010,2894928,,Conversion of Exercise of derivative security at price 180.82 per share.,CARTER ROBERT B,Chief Technology Officer,,2024-06-28T00:00:00.000,D
2535,406944,,Conversion of Exercise of derivative security at price 160.53 per share.,WALSH PAUL S,Director,,2024-06-28T00:00:00.000,D
3112,0,,Stock Award(Grant) at price 0.00 per share.,KRISHNASAMY SRIRAM,Officer,,2024-06-27T00:00:00.000,D
3112,0,,Stock Award(Grant) at price 0.00 per share.,SMITH RICHARD W.,Officer,,2024-06-27T00:00:00.000,D
3527,0,,Stock Award(Grant) at price 0.00 per share.,BRIGHTMAN TRACY B,Officer,,2024-06-27T00:00:00.000,D
560,0,,Stock Award(Grant) at price 0.00 per share.,ERWIN GUY M II,Officer,,2024-06-27T00:00:00.000,D
3322,0,,Stock Award(Grant) at price 0.00 per share.,DIETRICH JOHN W,Chief Financial Officer,,2024-06-27T00:00:00.000,D
7709,0,,Stock Award(Grant) at price 0.00 per share.,SUBRAMANIAM RAJESH,Chief Executive Officer,,2024-06-27T00:00:00.000,D
3112,0,,Stock Award(Grant) at price 0.00 per share.,ALLEN MARK RUSSELL,General Counsel,,2024-06-27T00:00:00.000,D
