Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,243.2894764223,249.0247394199,241.4110198397,246.7166442871,20495400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-09T05:00:00.000Z,244.2886654409,255.2995793794,242.630028809,252.2121276855,17067100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-10T05:00:00.000Z,254.9198778231,264.5319498373,250.3736221893,263.4927978516,21960700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-11T05:00:00.000Z,261.3146103034,262.6335305081,251.3428338092,258.2471313477,18867000,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-12T05:00:00.000Z,255.4594387106,255.6093243244,239.1229130563,240.94140625,25936900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-15T05:00:00.000Z,246.9064835014,249.904012734,235.8056329667,237.304397583,27483600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-16T05:00:00.000Z,235.6057955616,239.2028214141,230.3900935916,232.3184967041,22577300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-17T05:00:00.000Z,236.3651754457,237.2544418646,221.5074267096,225.334274292,41957100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-18T05:00:00.000Z,256.3187300926,263.4328614433,244.7982269969,248.3453063965,65006100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-19T05:00:00.000Z,251.5426753455,268.1589848559,251.5426753455,265.7010192871,62312100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-22T05:00:00.000Z,276.9217495124,279.7594069969,268.0690607221,276.3622131348,30961900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-23T05:00:00.000Z,275.692793088,281.6278734404,272.0957515922,276.0424804688,20767600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-24T05:00:00.000Z,277.7710344872,289.0617154186,277.0216521999,286.4438781738,18592600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-26T05:00:00.000Z,290.6004553551,290.6304294269,283.1865836746,284.5554504395,17878500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-29T05:00:00.000Z,280.2122853145,294.3763492239,278.3830670929,294.2463989258,26642900,0.115,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-30T05:00:00.000Z,294.5762485898,298.7044885114,291.8873758546,292.5071105957,23056400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2025-12-31T05:00:00.000Z,293.0469125011,293.0469125011,284.0606666232,285.2901611328,17573800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-02T05:00:00.000Z,295.00607846,315.4674842347,294.7361723112,315.2875671387,42604300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-05T05:00:00.000Z,324.9934815276,325.3933074651,309.4200065476,312.0189208984,34608600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-06T05:00:00.000Z,318.146334639,344.4052913682,317.9264258095,343.2857666016,48732400,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-07T05:00:00.000Z,340.5669262408,346.1545753214,337.0384097193,339.407409668,32781100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-08T05:00:00.000Z,342.7559961298,343.5156867361,321.2250331176,326.8826599121,33897700,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-09T05:00:00.000Z,332.6102838951,345.6547922186,326.0530407687,344.945098877,33387500,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-12T05:00:00.000Z,340.4069885458,348.3236763062,339.1775245542,345.7247619629,23152600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-13T05:00:00.000Z,346.124572322,351.0825113247,335.0792249909,337.9880065918,23881300,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-14T05:00:00.000Z,334.6993865134,338.9576073672,328.0621907203,333.2100219727,20277200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-15T05:00:00.000Z,345.1849758605,347.6239536979,336.1287827694,336.4886474609,25370200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-16T05:00:00.000Z,352.9517447574,365.6563994795,351.8921922757,362.5976867676,47901900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-20T05:00:00.000Z,364.5268677658,381.3997849299,361.1982794164,364.8467407227,49744900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-21T05:00:00.000Z,372.6934427156,394.0344837414,366.5760174446,388.9465942383,56712800,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-22T05:00:00.000Z,396.4734477149,397.6129531153,376.7617278072,397.4130249023,39607600,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-23T05:00:00.000Z,396.9932330664,412.2568100921,390.5759154526,399.4821777344,35404200,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-26T05:00:00.000Z,395.3339171248,397.8328672963,384.1386081548,388.9266052246,29193900,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
2026-01-27T05:00:00.000Z,404.4400778262,416.2751327093,399.4322024144,410.0677185059,36212100,0.0,0.0,MU,美光科技,"Micron Technology, Inc.",USD
