Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-08T05:00:00.000Z,199.3699951172,199.8999938965,193.6900024414,195.3500061035,4425300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-09T05:00:00.000Z,195.0200042725,196.6600036621,194.1999969482,195.0,3193500,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-10T05:00:00.000Z,194.4600067139,195.0,192.1100006104,192.9600067139,4715800,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-11T05:00:00.000Z,191.3800048828,192.8399963379,188.5,190.3600006104,5776100,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-12T05:00:00.000Z,191.0599975586,193.6600036621,188.5500030518,191.6900024414,5352700,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-15T05:00:00.000Z,191.3399963379,191.3399963379,185.7100067139,185.8800048828,6660300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-16T05:00:00.000Z,185.1000061035,188.3300018311,184.6399993896,187.0899963379,5757200,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-17T05:00:00.000Z,187.5299987793,188.3300018311,183.2799987793,183.4400024414,5758300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-18T05:00:00.000Z,185.7100067139,186.9199981689,183.1900024414,185.8800048828,7224300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-19T05:00:00.000Z,187.8500061035,188.2700042725,186.1399993896,186.8800048828,19050300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-22T05:00:00.000Z,188.4900054932,190.5200042725,186.6499938965,189.4900054932,4982500,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-23T05:00:00.000Z,189.0700073242,189.7200012207,187.2899932861,188.1199951172,3371300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-24T05:00:00.000Z,187.4299926758,187.8399963379,184.7899932861,187.2200012207,1829300,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-26T05:00:00.000Z,187.3399963379,188.5800018311,186.5099945068,188.4499969482,2527600,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-29T05:00:00.000Z,188.1300048828,189.0299987793,186.2100067139,186.8500061035,2660000,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-30T05:00:00.000Z,186.25,187.75,185.8999938965,186.8500061035,2847600,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2025-12-31T05:00:00.000Z,186.6999969482,186.8600006104,184.1000061035,184.1999969482,3253100,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2026-01-02T05:00:00.000Z,184.8099975586,184.8099975586,177.2299957275,179.3699951172,6909600,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
2026-01-05T05:00:00.000Z,183.0,185.8399963379,181.0099945068,182.1199951172,6582900,0.0,0.0,PANW,派拓网络,"Palo Alto Networks, Inc.",USD
